,timestamp,current_engine_rpm,acceleration_x,acceleration_y,acceleration_z,velocity_x,velocity_y,velocity_z,yaw,pitch,roll,position_x,position_y,position_z,speed,power,torque
1080,9594,8999.9951171875,6.01385498046875,-0.33582577109336853,-20.515159606933594,-3.7069590091705322,0.21031945943832397,9.986688613891602,1.5506441593170166,0.01872221753001213,0.004386628046631813,-4985.78466796875,179.29127502441406,-331.028564453125,10.654563903808594,-0.001029964885674417,-1.040981169353472e-05
1098,9723,8999.9951171875,7.6034674644470215,-0.2792438268661499,-19.777088165283203,-3.683002471923828,0.16285909712314606,7.183548450469971,1.6441854238510132,0.018477117642760277,0.0060118879191577435,-4984.69921875,179.2913055419922,-330.5876770019531,8.07430362701416,-0.001029964885674417,-1.040981169353472e-05
1116,9861,8999.9951171875,14.027107238769531,-0.1937992125749588,-7.545428276062012,-2.6066503524780273,0.11681733280420303,5.790657043457031,1.7364505529403687,0.016010278835892677,0.007653020787984133,-4983.85986328125,179.2919158935547,-330.2700500488281,6.351376533508301,-3270.817138671875,-19.28437614440918
1134,9994,8999.9951171875,9.31633186340332,-0.3684080243110657,-15.572032928466797,-1.9292776584625244,0.06399932503700256,3.465104103088379,1.8199459314346313,0.015937499701976776,0.0067042200826108456,-4983.22998046875,179.2924041748047,-330.1148681640625,3.9665040969848633,354.8907165527344,3.9258413314819336
1152,10119,8999.9951171875,9.049684524536133,-0.3463107645511627,-14.579946517944336,-0.9705042243003845,0.029958663508296013,1.3866547346115112,1.8840827941894531,0.01658431813120842,0.006352920550853014,-4982.89599609375,179.29281616210938,-330.02191162109375,1.6928044557571411,364.9248962402344,3.9258413314819336
1170,10244,8999.9951171875,7.7675557136535645,-0.15700091421604156,-10.801112174987793,0.01445834431797266,0.023096764460206032,-0.08053576946258545,1.9169762134552002,0.016051286831498146,0.005857403390109539,-4982.81494140625,179.29522705078125,-329.9931335449219,0.08502066880464554,374.86993408203125,3.9258413314819336
1188,10373,8999.9951171875,0.22298100590705872,-0.1330307424068451,-0.8842896223068237,-0.03240600973367691,0.0024895165115594864,0.009083982557058334,1.9112516641616821,0.013668925501406193,0.002636962803080678,-4982.8251953125,179.29660034179688,-329.99755859375,0.03374708443880081,384.5683288574219,3.9258413314819336
1206,10501,8999.9951171875,0.10278044641017914,-0.01727597787976265,-0.010635539889335632,0.01409173384308815,0.002072669565677643,-0.007175571285188198,1.9120643138885498,0.012496723793447018,0.001211038907058537,-4982.8251953125,179.29684448242188,-329.997802734375,0.015948722139000893,-2.0774035453796387,-0.02097993530333042
1224,10630,8999.9951171875,0.015790589153766632,0.010772320441901684,-0.001582106575369835,-0.0005245715146884322,0.0013857525773346424,0.0007306997431442142,1.9116442203521729,0.012312343344092369,0.00039540923899039626,-4982.8251953125,179.29702758789062,-329.99774169921875,0.0016520917415618896,-1.7510560750961304,-0.0176862720400095
1242,10755,8999.9951171875,0.053896624594926834,-0.012303007766604424,0.01820109784603119,0.000544138893019408,0.0007387868827208877,6.310095341177657e-05,1.9117910861968994,0.01234972570091486,5.019734817324206e-05,-4982.8251953125,179.297119140625,-329.9979553222656,0.0009197145700454712,-1.4790230989456177,-0.014940163120627403
1260,10885,8999.9951171875,-0.002975528361275792,-0.010857435874640942,-0.0010882073547691107,0.00030487339245155454,0.00042494016815908253,5.727749157813378e-05,1.9117481708526611,0.012371615506708622,-0.00013360148295760155,-4982.8251953125,179.2971954345703,-329.9979553222656,0.0005261203623376787,-1.2507561445236206,-0.012635431252419949
1278,11014,8999.9951171875,-0.008088793605566025,-0.005248981527984142,-0.002830683020874858,0.00013696377573069185,0.00020528580353129655,-2.8012582333758473e-06,1.911754846572876,0.012374631129205227,-0.0002293214201927185,-4982.8251953125,179.29722595214844,-329.9980163574219,0.0002467978629283607,-1.0551000833511353,-0.010659647174179554
1296,11144,8999.9951171875,-0.001201049773953855,-0.0019445677753537893,-0.0004059937782585621,0.00011138567060697824,0.00014133700460661203,5.404348485171795e-05,1.9117538928985596,0.012374323792755604,-0.00024261645739898086,-4982.8251953125,179.2972412109375,-329.9980163574219,0.0001878925395430997,-0.8891551494598389,-0.008983667939901352
1314,11272,8999.9951171875,-0.00018232340516988188,-0.0011737359454855323,-5.0835580623243004e-05,0.00012971529213245958,3.560917321010493e-05,2.2722342691849917e-05,1.9117538928985596,0.012374323792755604,-0.00024261645739898086,-4982.8251953125,179.29725646972656,-329.9980163574219,0.00013641983969137073,-0.7510552406311035,-0.0075887530110776424
1332,11398,8999.9951171875,-0.001683001988567412,-0.00018479883146937937,-0.0005950185586698353,0.00012604251969605684,5.5114487622631714e-05,3.5630615457193926e-05,1.9117538928985596,0.012374323792755604,-0.00024261645739898086,-4982.8251953125,179.29725646972656,-329.998046875,0.00014210511290002614,-0.6346088647842407,-0.0064124446362257
1350,11525,8999.9951171875,-0.0002529662742745131,-0.0012236926704645157,-7.473877485608682e-05,0.00013440908514894545,1.2460675407055533e-06,3.2141291740117595e-05,1.9117538928985596,0.012374323792755604,-0.00024261645739898086,-4982.8251953125,179.29727172851562,-329.998046875,0.00013820423919241875,-0.5361011028289795,-0.005417266394942999
1368,11653,8999.9951171875,-0.0018413085490465164,-0.00018832020577974617,-0.0006510666571557522,0.00012737132783513516,-2.192575266235508e-05,3.272522008046508e-05,1.9117538928985596,0.01237428653985262,-0.0002466219011694193,-4982.8251953125,179.29727172851562,-329.9980773925781,0.00013332341040950269,-0.4514067471027374,-0.0045615797862410545
1386,11777,8999.9951171875,-0.000286144349956885,-0.0005906595033593476,-9.427945769857615e-05,0.00011571207141969353,3.219543941668235e-05,3.731267497641966e-05,1.9117538928985596,0.01237428653985262,-0.0002466219011694193,-4982.8251953125,179.29727172851562,-329.9980773925781,0.0001257698895642534,-0.38155338168144226,-0.003855794668197632
